35368703,Ajanta,QUARTZ,,
35368803,Ajanta,QUARTZ,,
35368903,Ajanta,QUARTZ,,
35203403,Akasaki,i009,,
35203503,Akasaki,is-010,,
35253803,Aktel,A-100,,
35253703,Aktel,A-200,,
35273703,Aktel,A-300,,
35272903,Aktel,A-400,,
35273803,Aktel,A-500,,
35192400,Al-Ahram,D-Wan GSM001,,
35094600,Alcatel,525BG3,,
33000300,Alcatel,9100 9109DA Lisa 9030,,
33000100,Alcatel,9100 9109DA,,
33000700,Alcatel,9100 9109H B100,,
33000900,Alcatel,9100 9109H B110 DE: D1-987,,
33000800,Alcatel,9100 9109H B200,,
33002300,Alcatel,9100 9109H C1000,,
33001400,Alcatel,9100 9109H C400,,
33001500,Alcatel,9100 9109H C600,,
33002000,Alcatel,9100 9109H C800,,
33000400,Alcatel,9100 9109H Lisa 9031,,
33000200,Alcatel,9100 9109H,,
33000500,Alcatel,9100 9109M B1,,
33001000,Alcatel,9100 9109M B2,,
33000700,Alcatel,9109 HA,,
33000753,Alcatel,9109 HB 100,,
33000553,Alcatel,9109 MB1,,
33000153,Alcatel,9109MA/PA/DA,,
33000345,Alcatel,9109MA/PA/DA,,
35884703,Alcatel,B331/OT-250x/Vodafone 250,,
35983000,Alcatel,C62,,
35592000,Alcatel,C753,,
35644203,Alcatel,Crystal,,
35234500,Alcatel,EMOL316,,
35712700,Alcatel,ElleNo 1 BL1,,
33002353,Alcatel,HC 1000 ITINERIS,,
33001453,Alcatel,HC 400,,
33001953,Alcatel,HC 500,,
33001553,Alcatel,HC 600,,
33002053,Alcatel,HC 800,,
33001900,Alcatel,HC500DE: D1-988,,
35719502,Alcatel,MandarinaDuck MD02X,,
35891501,Alcatel,MandarinaDuck,,
35586403,Alcatel,MissSixty,,
35267702,Alcatel,OT,,
35908003,Alcatel,OT-203x/OT-204x,,
35176204,Alcatel,OT-255x,,
35967502,Alcatel,OT-363,,
35231004,Alcatel,OT-380x,,
35184803,Alcatel,OT-383x,,
35154403,Alcatel,OT-800x,,
35630603,Alcatel,OT-S211x,,
35977700,Alcatel,OT-S860,,
35320202,Alcatel,OT-V212,,
35990803,Alcatel,OT108x,,
35247403,Alcatel,OT203,,
35633103,Alcatel,OT203Ex,,
35725903,Alcatel,OT206x,,
35776903,Alcatel,OT305x,,
35777003,Alcatel,OT505x,,
35638903,Alcatel,OT808x,,
33006100,Alcatel,OlaFrance Telecom Alcatel Ola,,
35418400,Alcatel,One Touch 153,,
35390000,Alcatel,One Touch 155,,
35437500,Alcatel,One Touch 156,,
35924802,Alcatel,One Touch 202,,
33216600,Alcatel,One Touch 300/301 BE3,,
33215800,Alcatel,One Touch 300/301 BE4,,
33215900,Alcatel,One Touch 300/301 BE4,,
33216000,Alcatel,One Touch 300/301 BE4,,
33216100,Alcatel,One Touch 300/301 BE4,,
33216200,Alcatel,One Touch 300/301 BE4,,
33216300,Alcatel,One Touch 300/301 BE4,,
33216400,Alcatel,One Touch 300/301 BE4,,
33216500,Alcatel,One Touch 300/301 BE4,,
33215700,Alcatel,One Touch 300/301/302 BE4,,
33216736,Alcatel,One Touch 302,,
33216740,Alcatel,One Touch 302,,
33216753,Alcatel,One Touch 302,,
33216767,Alcatel,One Touch 302,,
33216770,Alcatel,One Touch 302,,
33216771,Alcatel,One Touch 302,,
33216836,Alcatel,One Touch 302,,
33216840,Alcatel,One Touch 302,,
33216853,Alcatel,One Touch 302,,
33216867,Alcatel,One Touch 302,,
33216870,Alcatel,One Touch 302,,
33216871,Alcatel,One Touch 302,,
33216936,Alcatel,One Touch 302,,
33216940,Alcatel,One Touch 302,,
33216953,Alcatel,One Touch 302,,
33216967,Alcatel,One Touch 302,,
33216970,Alcatel,One Touch 302,,
33216971,Alcatel,One Touch 302,,
33217036,Alcatel,One Touch 302,,
33217040,Alcatel,One Touch 302,,
33217053,Alcatel,One Touch 302,,
33217067,Alcatel,One Touch 302,,
33217070,Alcatel,One Touch 302,,
33217071,Alcatel,One Touch 302,,
33217236,Alcatel,One Touch 302,,
33217240,Alcatel,One Touch 302,,
33217253,Alcatel,One Touch 302,,
33217267,Alcatel,One Touch 302,,
33217270,Alcatel,One Touch 302,,
33217271,Alcatel,One Touch 302,,
33216700,Alcatel,One Touch 302/303 BE4,,
33216800,Alcatel,One Touch 302/303 BE4,,
33216900,Alcatel,One Touch 302/303 BE4,,
33217000,Alcatel,One Touch 302/303 BE4,,
33217100,Alcatel,One Touch 302/303 BE4,,
33217200,Alcatel,One Touch 302/303 BE4,,
33217300,Alcatel,One Touch 302/303 BE4,,
33217400,Alcatel,One Touch 302/303 BE4,,
33217500,Alcatel,One Touch 302/303 BE4,,
33217600,Alcatel,One Touch 302/303 BE4,,
35861002,Alcatel,One Touch 303X,,
33215736,Alcatel,One Touch 304,,
33215740,Alcatel,One Touch 304,,
33215753,Alcatel,One Touch 304,,
33215767,Alcatel,One Touch 304,,
33215770,Alcatel,One Touch 304,,
33215771,Alcatel,One Touch 304,,
33215836,Alcatel,One Touch 304,,
33215840,Alcatel,One Touch 304,,
33215853,Alcatel,One Touch 304,,
33215867,Alcatel,One Touch 304,,
33215870,Alcatel,One Touch 304,,
33215871,Alcatel,One Touch 304,,
33215936,Alcatel,One Touch 304,,
33215940,Alcatel,One Touch 304,,
33215953,Alcatel,One Touch 304,,
33215967,Alcatel,One Touch 304,,
33215970,Alcatel,One Touch 304,,
33215971,Alcatel,One Touch 304,,
33216036,Alcatel,One Touch 304,,
33216040,Alcatel,One Touch 304,,
33216053,Alcatel,One Touch 304,,
33216067,Alcatel,One Touch 304,,
33216070,Alcatel,One Touch 304,,
33216071,Alcatel,One Touch 304,,
33216136,Alcatel,One Touch 304,,
33216140,Alcatel,One Touch 304,,
33216153,Alcatel,One Touch 304,,
33216167,Alcatel,One Touch 304,,
33216170,Alcatel,One Touch 304,,
33216171,Alcatel,One Touch 304,,
33216236,Alcatel,One Touch 304,,
33216240,Alcatel,One Touch 304,,
33216253,Alcatel,One Touch 304,,
33216267,Alcatel,One Touch 304,,
33216270,Alcatel,One Touch 304,,
33216271,Alcatel,One Touch 304,,
33216336,Alcatel,One Touch 304,,
33216340,Alcatel,One Touch 304,,
33216353,Alcatel,One Touch 304,,
33216367,Alcatel,One Touch 304,,
33216370,Alcatel,One Touch 304,,
33216371,Alcatel,One Touch 304,,
33216436,Alcatel,One Touch 304,,
33216440,Alcatel,One Touch 304,,
33216453,Alcatel,One Touch 304,,
33216467,Alcatel,One Touch 304,,
33216470,Alcatel,One Touch 304,,
33216471,Alcatel,One Touch 304,,
33216536,Alcatel,One Touch 304,,
33216540,Alcatel,One Touch 304,,
33216553,Alcatel,One Touch 304,,
33216567,Alcatel,One Touch 304,,
33216570,Alcatel,One Touch 304,,
33216571,Alcatel,One Touch 304,,
33216636,Alcatel,One Touch 304,,
33216640,Alcatel,One Touch 304,,
33216653,Alcatel,One Touch 304,,
33216667,Alcatel,One Touch 304,,
33216670,Alcatel,One Touch 304,,
33216671,Alcatel,One Touch 304,,
33217136,Alcatel,One Touch 304,,
33217140,Alcatel,One Touch 304,,
33217153,Alcatel,One Touch 304,,
33217167,Alcatel,One Touch 304,,
33217170,Alcatel,One Touch 304,,
33217171,Alcatel,One Touch 304,,
33217336,Alcatel,One Touch 304,,
33217340,Alcatel,One Touch 304,,
33217353,Alcatel,One Touch 304,,
33217367,Alcatel,One Touch 304,,
33217370,Alcatel,One Touch 304,,
33217371,Alcatel,One Touch 304,,
33217436,Alcatel,One Touch 304,,
33217440,Alcatel,One Touch 304,,
33217453,Alcatel,One Touch 304,,
33217467,Alcatel,One Touch 304,,
33217470,Alcatel,One Touch 304,,
33217471,Alcatel,One Touch 304,,
33217536,Alcatel,One Touch 304,,
33217540,Alcatel,One Touch 304,,
33217553,Alcatel,One Touch 304,,
33217567,Alcatel,One Touch 304,,
33217570,Alcatel,One Touch 304,,
33217571,Alcatel,One Touch 304,,
33217636,Alcatel,One Touch 304,,
33217640,Alcatel,One Touch 304,,
33217653,Alcatel,One Touch 304,,
33217667,Alcatel,One Touch 304,,
33217670,Alcatel,One Touch 304,,
33217671,Alcatel,One Touch 304,,
33228400,Alcatel,One Touch 310/311 BF3,,
33228500,Alcatel,One Touch 310/311 BF3,,
33228600,Alcatel,One Touch 310/311 BF3,,
33228700,Alcatel,One Touch 310/311 BF3,,
33228800,Alcatel,One Touch 310/311 BF3,,
33228900,Alcatel,One Touch 311 BF3,,
33228402,Alcatel,One Touch 311,,
33228436,Alcatel,One Touch 311,,
33228440,Alcatel,One Touch 311,,
33228442,Alcatel,One Touch 311,,
33228453,Alcatel,One Touch 311,,
33228467,Alcatel,One Touch 311,,
33228470,Alcatel,One Touch 311,,
33228471,Alcatel,One Touch 311,,
33228484,Alcatel,One Touch 311,,
33228494,Alcatel,One Touch 311,,
33228536,Alcatel,One Touch 311,,
33228540,Alcatel,One Touch 311,,
33228553,Alcatel,One Touch 311,,
33228567,Alcatel,One Touch 311,,
33228570,Alcatel,One Touch 311,,
33228571,Alcatel,One Touch 311,,
33228584,Alcatel,One Touch 311,,
33228636,Alcatel,One Touch 311,,
33228640,Alcatel,One Touch 311,,
33228653,Alcatel,One Touch 311,,
33228667,Alcatel,One Touch 311,,
33228670,Alcatel,One Touch 311,,
33228671,Alcatel,One Touch 311,,
33228684,Alcatel,One Touch 311,,
33228736,Alcatel,One Touch 311,,
33228740,Alcatel,One Touch 311,,
33228753,Alcatel,One Touch 311,,
33228767,Alcatel,One Touch 311,,
33228770,Alcatel,One Touch 311,,
33228771,Alcatel,One Touch 311,,
33228784,Alcatel,One Touch 311,,
33228836,Alcatel,One Touch 311,,
33228840,Alcatel,One Touch 311,,
